segment;pas;paire;succes;attendu
S006;585;alpha->epsilon;0;0.8072066522944257
S006;620;alpha->epsilon;1;0.848316342292246
S006;629;alpha->epsilon;1;0.848316342292246
S006;674;alpha->epsilon;1;0.883030303030303
S006;676;alpha->epsilon;1;0.8264908600539407
S006;700;alpha->epsilon;1;0.8264908600539407
S006;704;alpha->epsilon;1;0.883030303030303
S006;714;alpha->epsilon;1;0.7789125863622709
S006;735;alpha->epsilon;1;0.848316342292246
S006;746;alpha->epsilon;1;0.848316342292246
S006;795;alpha->epsilon;0;0.7254842615012107
S006;817;alpha->epsilon;1;0.8264908600539407
S006;819;alpha->epsilon;1;0.883030303030303
S006;822;alpha->epsilon;1;0.883030303030303
S006;840;alpha->epsilon;1;0.848316342292246
S006;842;alpha->epsilon;1;0.8878390734532154
S006;857;alpha->epsilon;1;0.848316342292246
S006;881;alpha->epsilon;1;0.7254842615012107
S006;903;alpha->epsilon;1;0.8878390734532154
S006;956;alpha->epsilon;1;0.7254842615012107
S006;977;alpha->epsilon;1;0.8264908600539407
S006;1004;alpha->epsilon;0;0.8072066522944257
S006;1033;alpha->epsilon;1;0.7378345498783455
S006;1045;alpha->epsilon;1;0.8072066522944257
S006;1072;alpha->epsilon;1;0.7254842615012107
S006;1113;alpha->epsilon;0;0.7378345498783455
S006;1119;alpha->epsilon;0;0.7378345498783455
S006;1153;alpha->epsilon;1;0.7378345498783455
S006;1177;alpha->epsilon;1;0.8264908600539407
S006;1193;alpha->epsilon;1;0.7789125863622709
S006;1216;alpha->epsilon;0;0.8072066522944257
S006;1220;alpha->epsilon;0;0.7378345498783455
S006;1247;alpha->epsilon;1;0.8878390734532154
S006;1251;alpha->epsilon;1;0.8878390734532154
S006;1328;alpha->epsilon;1;0.8072066522944257
S006;1330;alpha->epsilon;1;0.8072066522944257
S006;1380;alpha->epsilon;1;0.883030303030303
S006;1409;alpha->epsilon;1;0.848316342292246
S007;29;alpha->epsilon;1;0.7254842615012107
S007;64;alpha->epsilon;1;0.8072066522944257
S007;117;alpha->epsilon;1;0.7254842615012107
S007;135;alpha->epsilon;1;0.7789125863622709
S007;157;alpha->epsilon;1;0.848316342292246
S007;159;alpha->epsilon;1;0.848316342292246
S007;208;alpha->epsilon;1;0.7254842615012107
S007;224;alpha->epsilon;1;0.8264908600539407
S007;252;alpha->epsilon;1;0.7378345498783455
S007;255;alpha->epsilon;1;0.7378345498783455
S007;284;alpha->epsilon;0;0.7254842615012107
S007;304;alpha->epsilon;0;0.7789125863622709
S007;320;alpha->epsilon;1;0.7254842615012107
S007;344;alpha->epsilon;1;0.883030303030303
S007;364;alpha->epsilon;1;0.8264908600539407
S007;392;alpha->epsilon;1;0.8264908600539407
S007;410;alpha->epsilon;1;0.8264908600539407
S007;449;alpha->epsilon;1;0.848316342292246
S007;498;alpha->epsilon;1;0.7254842615012107
S007;537;alpha->epsilon;0;0.7378345498783455
S007;593;alpha->epsilon;0;0.8072066522944257
S007;624;alpha->epsilon;1;0.7378345498783455
S007;631;alpha->epsilon;1;0.7378345498783455
S007;635;alpha->epsilon;1;0.8072066522944257
S007;666;alpha->epsilon;1;0.8264908600539407
S007;690;alpha->epsilon;1;0.848316342292246
S007;692;alpha->epsilon;1;0.8072066522944257
S007;716;alpha->epsilon;1;0.7789125863622709
S007;725;alpha->epsilon;0;0.7789125863622709
S007;750;alpha->epsilon;1;0.7789125863622709
S007;753;alpha->epsilon;1;0.883030303030303
S007;755;alpha->epsilon;1;0.883030303030303
S007;769;alpha->epsilon;1;0.8264908600539407
S007;803;alpha->epsilon;1;0.8264908600539407
S007;851;alpha->epsilon;1;0.7378345498783455
S007;855;alpha->epsilon;1;0.7378345498783455
S007;857;alpha->epsilon;1;0.7378345498783455
S007;862;alpha->epsilon;1;0.8072066522944257
S007;864;alpha->epsilon;1;0.848316342292246
S007;891;alpha->epsilon;1;0.7254842615012107
S007;897;alpha->epsilon;1;0.8264908600539407
S007;962;alpha->epsilon;1;0.7378345498783455
S007;1014;alpha->epsilon;1;0.8072066522944257
S007;1065;alpha->epsilon;0;0.8264908600539407
S007;1069;alpha->epsilon;0;0.8264908600539407
S007;1139;alpha->epsilon;1;0.7254842615012107
S007;1164;alpha->epsilon;1;0.8072066522944257
S007;1166;alpha->epsilon;1;0.848316342292246
S007;1171;alpha->epsilon;1;0.8072066522944257
S007;1182;alpha->epsilon;1;0.848316342292246
S007;1184;alpha->epsilon;1;0.8878390734532154
S007;1228;alpha->epsilon;1;0.7254842615012107
S007;1234;alpha->epsilon;1;0.7789125863622709
S007;1237;alpha->epsilon;1;0.8264908600539407
S007;1250;alpha->epsilon;1;0.883030303030303
S007;1365;alpha->epsilon;1;0.7254842615012107
S007;1405;alpha->epsilon;1;0.7254842615012107
S008;19;alpha->epsilon;1;0.7378345498783455
S008;46;alpha->epsilon;0;0.8264908600539407
S008;59;alpha->epsilon;1;0.7789125863622709
S008;72;alpha->epsilon;1;0.8264908600539407
S008;79;alpha->epsilon;1;0.8264908600539407
S008;84;alpha->epsilon;1;0.8264908600539407
S008;100;alpha->epsilon;1;0.8878390734532154
S008;103;alpha->epsilon;1;0.848316342292246
S008;174;alpha->epsilon;0;0.7789125863622709
S008;182;alpha->epsilon;0;0.7254842615012107
S008;205;alpha->epsilon;1;0.7789125863622709
S008;209;alpha->epsilon;1;0.7789125863622709
S008;235;alpha->epsilon;1;0.8072066522944257
S008;261;alpha->epsilon;1;0.7789125863622709
S008;288;alpha->epsilon;1;0.848316342292246
S008;300;alpha->epsilon;1;0.8072066522944257
S008;341;alpha->epsilon;0;0.7378345498783455
S008;348;alpha->epsilon;0;0.7378345498783455
S008;388;alpha->epsilon;1;0.848316342292246
S008;396;alpha->epsilon;1;0.7378345498783455
S008;398;alpha->epsilon;1;0.8072066522944257
S008;409;alpha->epsilon;1;0.848316342292246
S008;416;alpha->epsilon;1;0.8878390734532154
S008;466;alpha->epsilon;1;0.7789125863622709
S008;502;alpha->epsilon;1;0.7254842615012107
S008;504;alpha->epsilon;1;0.8264908600539407
S008;526;alpha->epsilon;1;0.848316342292246
S008;553;alpha->epsilon;0;0.7789125863622709
S008;591;alpha->epsilon;0;0.7254842615012107
S008;629;alpha->epsilon;1;0.7254842615012107
S008;640;alpha->epsilon;1;0.883030303030303
S008;690;alpha->epsilon;1;0.7254842615012107
S008;695;alpha->epsilon;1;0.7254842615012107
S008;710;alpha->epsilon;1;0.883030303030303
S008;719;alpha->epsilon;1;0.8878390734532154
S008;806;alpha->epsilon;1;0.7254842615012107
S008;809;alpha->epsilon;1;0.7254842615012107
S008;851;alpha->epsilon;1;0.7378345498783455
S008;916;alpha->epsilon;1;0.7254842615012107
S008;918;alpha->epsilon;1;0.7789125863622709
S008;926;alpha->epsilon;1;0.883030303030303
S008;953;alpha->epsilon;1;0.8878390734532154
S008;975;alpha->epsilon;1;0.8264908600539407
S008;980;alpha->epsilon;1;0.8264908600539407
S008;1003;alpha->epsilon;1;0.8878390734532154
S008;1032;alpha->epsilon;0;0.7789125863622709
S008;1088;alpha->epsilon;1;0.7254842615012107
S008;1113;alpha->epsilon;1;0.8072066522944257
