segment;pas;succes;attendu
S038;547;0;0.7751256281407035
S038;554;0;0.21744186046511627
S038;555;1;0.37373737373737376
S038;556;1;0.39085545722713866
S038;696;1;0.7940379403794038
S038;697;1;0.7940379403794038
S038;729;1;0.7940379403794038
S038;730;1;0.6569037656903766
S038;837;1;0.6260229132569558
S038;845;1;0.7983870967741935
S038;846;1;0.7983870967741935
S038;847;1;0.7983870967741935
S038;848;1;0.7983870967741935
S038;849;1;0.7983870967741935
S038;850;1;0.7983870967741935
S038;851;1;0.7940379403794038
S038;900;1;0.7751256281407035
S038;901;1;0.6260229132569558
S038;902;1;0.7751256281407035
S038;903;1;0.7983870967741935
S038;1101;1;0.7940379403794038
S038;1102;1;0.7940379403794038
S038;1103;1;0.7940379403794038
S038;1344;0;0.24356077722548578
S039;126;1;0.7751256281407035
S039;127;1;0.7751256281407035
S039;197;1;0.7600479904019196
S039;372;1;0.7107142857142857
S039;491;1;0.6685057471264367
S039;492;1;0.7983870967741935
S039;493;1;0.6569037656903766
S039;494;0;0.7940379403794038
S039;495;0;0.6569037656903766
S039;541;1;0.7940379403794038
S039;542;1;0.7940379403794038
S039;752;1;0.7751256281407035
S039;768;1;0.5655172413793104
S039;769;1;0.7107142857142857
S039;770;1;0.7107142857142857
S039;771;1;0.7600479904019196
S039;772;1;0.7600479904019196
S039;812;1;0.6260229132569558
S039;813;1;0.6260229132569558
S039;814;1;0.6260229132569558
S039;815;1;0.7983870967741935
S039;816;1;0.7983870967741935
S039;817;1;0.7983870967741935
S039;818;1;0.7983870967741935
S039;1338;1;0.6260229132569558
S040;105;1;0.7751256281407035
S040;117;1;0.5366225839267549
S040;118;1;0.6569037656903766
S040;280;0;0.5655172413793104
S040;335;1;0.7751256281407035
S040;351;1;0.7940379403794038
S040;447;1;0.799367088607595
S040;578;1;0.24356077722548578
S040;579;1;0.4691358024691358
S040;580;1;0.5669014084507042
S040;581;1;0.7296996662958843
S040;582;1;0.7296996662958843
S040;583;1;0.7751256281407035
S040;584;1;0.7751256281407035
S040;585;1;0.7751256281407035
S040;586;1;0.7751256281407035
S040;930;1;0.39085545722713866
S040;931;1;0.5038759689922481
S041;254;1;0.7751256281407035
S041;255;1;0.7751256281407035
S041;313;1;0.5038759689922481
S041;602;1;0.799367088607595
S041;645;1;0.6788523831559463
S041;1053;1;0.6569037656903766
S041;1054;0;0.6569037656903766
S041;1055;0;0.7940379403794038
S041;1056;0;0.7940379403794038
S041;1065;1;0.5655172413793104
S041;1182;1;0.49420070600100857
S041;1223;0;0.49085365853658536
S042;26;1;0.7940379403794038
S042;507;1;0.7751256281407035
S042;508;1;0.7751256281407035
S042;509;1;0.7751256281407035
S042;510;1;0.7751256281407035
