segment;pas;appel;succes;attendu
S010;797;F06->alpha;1;0.895330112721417
S010;854;F06->alpha;1;0.8361522198731501
S010;856;F06->alpha;1;0.7933884297520661
S010;861;F06->alpha;1;0.8361522198731501
S010;879;F06->alpha;1;0.8155067725361981
S010;1001;F06->alpha;1;0.8185840707964602
S010;1089;F06->alpha;1;0.8087748344370861
S010;1122;F06->alpha;1;0.9102040816326531
S010;1145;F06->alpha;1;0.8287104622871047
S010;1160;F06->alpha;1;0.875
S010;1181;F06->alpha;1;0.910212474297464
S011;53;F06->alpha;1;0.8577319587628865
S011;72;F06->alpha;1;0.8349673202614379
S011;97;F06->alpha;1;0.8910256410256411
S011;127;F06->alpha;1;0.9469339622641509
S011;129;F06->alpha;1;0.9309173272933182
S011;188;F06->alpha;1;0.8577319587628865
S011;190;F06->alpha;1;0.910212474297464
S011;273;F06->alpha;0;0.7632211538461539
S011;287;F06->alpha;1;0.8662116040955632
S011;318;F06->alpha;1;0.8087748344370861
S011;333;F06->alpha;1;0.7684491978609626
S011;362;F06->alpha;1;0.8361522198731501
S011;409;F06->alpha;1;0.7530186608122942
S011;417;F06->alpha;1;0.910212474297464
S011;456;F06->alpha;1;0.910212474297464
S011;458;F06->alpha;1;0.910212474297464
S011;471;F06->alpha;1;0.7658371040723982
S011;634;F06->alpha;1;0.8429319371727748
S011;674;F06->alpha;1;0.7632211538461539
S011;703;F06->alpha;0;0.8449111470113085
S011;791;F06->alpha;1;0.9254345837145471
S011;829;F06->alpha;0;0.8287104622871047
S011;846;F06->alpha;1;0.7778489116517285
S011;883;F06->alpha;1;0.9587443946188341
S011;910;F06->alpha;1;0.9254345837145471
S011;976;F06->alpha;1;0.7658536585365854
S011;978;F06->alpha;1;0.8185840707964602
S011;998;F06->alpha;1;0.8245518739815317
S011;1059;F06->alpha;1;0.8662116040955632
S011;1064;F06->alpha;1;0.8538095238095238
S011;1084;F06->alpha;1;0.8502994011976048
S011;1126;F06->alpha;0;0.8287104622871047
S011;1137;F06->alpha;1;0.7778489116517285
S011;1191;F06->alpha;1;0.7632211538461539
S011;1200;F06->alpha;1;0.9328537170263789
S011;1219;F06->alpha;1;0.7658371040723982
S011;1245;F06->alpha;1;0.9328537170263789
S011;1346;F06->alpha;1;0.7658536585365854
S011;1356;F06->alpha;1;0.8155067725361981
S011;1404;F06->alpha;1;0.9133202742409402
S012;33;F06->alpha;0;0.7778489116517285
S012;44;F06->alpha;0;0.7778489116517285
S012;49;F06->alpha;0;0.8538095238095238
S012;65;F06->alpha;1;0.7778489116517285
S012;76;F06->alpha;1;0.8538095238095238
S012;99;F06->alpha;1;0.9469339622641509
S012;101;F06->alpha;1;0.8955916473317865
S012;132;F06->alpha;1;0.7658536585365854
S012;169;F06->alpha;1;0.8401486988847584
S012;228;F06->alpha;0;0.8449111470113085
S012;298;F06->alpha;1;0.8600405679513184
S012;300;F06->alpha;1;0.8600405679513184
S012;339;F06->alpha;1;0.9309173272933182
S012;341;F06->alpha;1;0.895330112721417
S012;365;F06->alpha;0;0.7740076824583867
S012;543;F06->alpha;1;0.9254345837145471
S012;563;F06->alpha;1;0.8958333333333334
S012;576;F06->alpha;1;0.7684491978609626
S012;625;F06->alpha;0;0.8292228943694742
S012;630;F06->alpha;0;0.9015025041736227
S012;648;F06->alpha;1;0.8361522198731501
S012;654;F06->alpha;1;0.9015025041736227
S012;668;F06->alpha;1;0.8254237288135593
S012;711;F06->alpha;1;0.874251497005988
S012;762;F06->alpha;1;0.9429280397022333
S012;810;F06->alpha;1;0.8705501618122977
S012;816;F06->alpha;1;0.7658536585365854
S012;889;F06->alpha;0;0.8155067725361981
S012;897;F06->alpha;0;0.7778489116517285
S012;923;F06->alpha;1;0.8287104622871047
S012;1051;F06->alpha;0;0.8449111470113085
S012;1053;F06->alpha;0;0.7740076824583867
S012;1067;F06->alpha;0;0.8361522198731501
S012;1164;F06->alpha;1;0.8287104622871047
S012;1201;F06->alpha;1;0.8538095238095238
S012;1237;F06->alpha;1;0.8245518739815317
S012;1239;F06->alpha;1;0.8538095238095238
S012;1358;F06->alpha;1;0.8656410256410256
S012;1360;F06->alpha;1;0.7740076824583867
S012;1369;F06->alpha;1;0.8782742681047766
S012;1377;F06->alpha;1;0.8245518739815317
S012;1379;F06->alpha;1;0.8662116040955632
S013;20;F06->alpha;0;0.8349673202614379
S013;123;F06->alpha;1;0.9102040816326531
S013;213;F06->alpha;1;0.7684491978609626
S013;296;F06->alpha;1;0.8577319587628865
S013;333;F06->alpha;1;0.7530186608122942
S013;342;F06->alpha;1;0.9254345837145471
S013;368;F06->alpha;1;0.7632211538461539
S013;378;F06->alpha;1;0.8155067725361981
S013;518;F06->alpha;1;0.8349673202614379
S013;588;F06->alpha;1;0.7933884297520661
S013;590;F06->alpha;1;0.7933884297520661
S013;612;F06->alpha;1;0.9254345837145471
S013;614;F06->alpha;1;0.874251497005988
S013;616;F06->alpha;1;0.8782742681047766
S013;618;F06->alpha;1;0.8185840707964602
S013;620;F06->alpha;1;0.8185840707964602
S013;633;F06->alpha;0;0.7740076824583867
S013;639;F06->alpha;0;0.8577319587628865
S013;676;F06->alpha;0;0.8361522198731501
S013;678;F06->alpha;0;0.7933884297520661
S013;680;F06->alpha;0;0.8361522198731501
S013;742;F06->alpha;1;0.9309173272933182
S013;744;F06->alpha;1;0.8449111470113085
S013;750;F06->alpha;1;0.910212474297464
S013;807;F06->alpha;0;0.7530186608122942
S013;865;F06->alpha;1;0.8292228943694742
S013;874;F06->alpha;1;0.7530186608122942
S013;876;F06->alpha;1;0.7933884297520661
S013;891;F06->alpha;1;0.8155067725361981
S013;924;F06->alpha;1;0.7658536585365854
S013;1062;F06->alpha;1;0.7530186608122942
S013;1084;F06->alpha;1;0.9328537170263789
S013;1086;F06->alpha;1;0.8662116040955632
S013;1097;F06->alpha;0;0.8599695585996956
S013;1171;F06->alpha;0;0.8245518739815317
S013;1202;F06->alpha;1;0.8287104622871047
S013;1204;F06->alpha;1;0.7778489116517285
S013;1237;F06->alpha;1;0.8599695585996956
S013;1239;F06->alpha;1;0.8185840707964602
S013;1358;F06->alpha;1;0.8087748344370861
S013;1395;F06->alpha;1;0.7684491978609626
S013;1397;F06->alpha;1;0.7684491978609626
S014;17;F06->alpha;1;0.7530186608122942
S014;25;F06->alpha;1;0.8361522198731501
S014;105;F06->alpha;1;0.8287104622871047
S014;119;F06->alpha;1;0.8955916473317865
S014;121;F06->alpha;1;0.7632211538461539
S014;140;F06->alpha;1;0.8087748344370861
S014;232;F06->alpha;1;0.7740076824583867
S014;234;F06->alpha;1;0.7740076824583867
S014;245;F06->alpha;1;0.8577319587628865
S014;247;F06->alpha;1;0.9015025041736227
S014;271;F06->alpha;1;0.7778489116517285
S014;304;F06->alpha;1;0.7658536585365854
S014;306;F06->alpha;1;0.7684491978609626
S014;311;F06->alpha;1;0.8155067725361981
S014;332;F06->alpha;1;0.8718703976435935
S014;334;F06->alpha;1;0.8432055749128919
S014;410;F06->alpha;1;0.8662116040955632
S014;447;F06->alpha;1;0.7684491978609626
S014;476;F06->alpha;1;0.9206081081081081
