segment;pas;capteur;succes;attendu
S003;231;alpha;0;0.22510334460729048
S003;235;alpha;0;0.005145278450363196
S003;239;alpha;1;0.454396504642272
S003;240;alpha;0;0.22510334460729048
S003;251;alpha;0;0.454396504642272
S003;253;alpha;0;0.03007751937984496
S003;257;alpha;0;0.11368277739959155
S003;261;alpha;0;0.08973935994721215
S003;291;alpha;0;0.28258221680876977
S003;309;alpha;0;0.454396504642272
S003;318;alpha;0;0.02786282914880588
S003;324;alpha;0;0.454396504642272
S003;326;alpha;0;0.06172049888071634
S003;355;alpha;0;0.012198841110094541
S003;366;alpha;1;0.37459434399629116
S003;367;alpha;0;0.37459434399629116
S003;374;alpha;1;0.28258221680876977
S003;375;alpha;0;0.37459434399629116
S003;387;alpha;1;0.37459434399629116
S003;388;alpha;0;0.11368277739959155
S003;394;alpha;1;0.454396504642272
S003;395;alpha;1;0.37459434399629116
S003;396;alpha;1;0.37459434399629116
S003;397;alpha;1;0.454396504642272
S003;398;alpha;0;0.454396504642272
S003;432;alpha;0;0.08973935994721215
S003;435;alpha;0;0.008179339594062406
S003;438;alpha;0;0.05497957901350927
S003;450;alpha;1;0.37459434399629116
S003;451;alpha;0;0.03917267314321529
S003;458;alpha;0;0.28258221680876977
S003;468;alpha;0;0.37459434399629116
S003;488;alpha;1;0.28258221680876977
S003;489;alpha;0;0.454396504642272
S003;507;alpha;0;0.37459434399629116
S003;509;alpha;0;0.37459434399629116
S003;514;alpha;1;0.454396504642272
S003;515;alpha;0;0.454396504642272
S003;531;alpha;0;0.08973935994721215
S003;549;alpha;0;0.37459434399629116
S003;551;alpha;0;0.22510334460729048
S003;584;alpha;0;0.28258221680876977
S003;597;alpha;0;0.454396504642272
S003;602;alpha;1;0.37459434399629116
S003;603;alpha;0;0.37459434399629116
S003;605;alpha;1;0.22510334460729048
S003;606;alpha;0;0.08973935994721215
S003;619;alpha;0;0.05497957901350927
S003;629;alpha;0;0.37459434399629116
S003;633;alpha;0;0.28258221680876977
S003;636;alpha;0;0.03917267314321529
S003;662;alpha;0;0.16335227272727273
S003;676;alpha;0;0.37459434399629116
S003;678;alpha;0;0.454396504642272
S003;682;alpha;1;0.454396504642272
S003;683;alpha;0;0.37459434399629116
S003;714;alpha;1;0.454396504642272
S003;715;alpha;0;0.008179339594062406
S003;730;alpha;1;0.28258221680876977
S003;731;alpha;0;0.28258221680876977
S003;738;alpha;0;0.454396504642272
S003;781;alpha;0;0.08973935994721215
S003;791;alpha;1;0.454396504642272
S003;792;alpha;1;0.37459434399629116
S003;793;alpha;0;0.28258221680876977
S003;839;alpha;0;0.454396504642272
S003;844;alpha;1;0.454396504642272
S003;845;alpha;1;0.28258221680876977
S003;846;alpha;0;0.03007751937984496
S003;853;alpha;1;0.22510334460729048
S003;854;alpha;0;0.22510334460729048
S003;880;alpha;0;0.28258221680876977
S003;903;alpha;1;0.37459434399629116
S003;904;alpha;0;0.37459434399629116
S003;906;alpha;0;0.28258221680876977
S003;908;alpha;0;0.454396504642272
S003;912;alpha;0;0.454396504642272
S003;971;alpha;1;0.454396504642272
S003;972;alpha;1;0.22510334460729048
S003;973;alpha;1;0.454396504642272
S003;974;alpha;0;0.37459434399629116
S003;976;alpha;0;0.22510334460729048
S003;978;alpha;0;0.01712014674411495
S003;992;alpha;0;0.454396504642272
S003;1019;alpha;0;0.08973935994721215
S003;1021;alpha;0;0.05497957901350927
S003;1025;alpha;0;0.02786282914880588
S003;1027;alpha;1;0.28258221680876977
S003;1028;alpha;0;0.007541478129713424
S003;1080;alpha;0;0.005474452554744526
S003;1111;alpha;0;0.012198841110094541
S003;1113;alpha;0;0.005145278450363196
S003;1116;alpha;1;0.28258221680876977
S003;1117;alpha;1;0.454396504642272
S003;1118;alpha;0;0.05497957901350927
S003;1135;alpha;0;0.11368277739959155
S003;1185;alpha;0;0.37459434399629116
S003;1235;alpha;1;0.37459434399629116
S003;1236;alpha;0;0.06172049888071634
