source;famille;capteur;issue;designe;n;obs;ref;z;segments
repli;F20;delta;retour27;False;40;0.15;0.15248770242743342;-0.044589621678557644;30
repli;F20;epsilon;retour27;False;40;0.425;0.3963727733454697;0.361831884914861;30
repli;F20;beta;cont10;True;40;0.75;0.8193230300207214;-1.0822919747488147;30
repli;F21;alpha;retour27;False;69;0.782608695652174;0.797375503595038;-0.29663047975290013;33
repli;F21;beta;retour27;False;69;0.21739130434782608;0.14973215488786437;1.8664792014044682;33
repli;F21;gamma;retour27;False;69;0.2318840579710145;0.1719444485439079;1.431080345537979;33
repli;F21;delta;retour27;False;69;0.2028985507246377;0.14184967610246585;1.9957481666215648;33
repli;F21;epsilon;retour27;False;69;0.42028985507246375;0.41207930155529315;0.14455026251601114;33
repli;F21;;cont10;False;69;0.782608695652174;0.8083247342356236;-0.5254417839236457;33
repli;F22;alpha;retour27;False;92;0.75;0.7743085842212404;-0.5478044168212508;38
repli;F22;beta;retour27;False;92;0.09782608695652174;0.12180839957609602;-0.8470470980582163;38
repli;F22;gamma;retour27;False;92;0.13043478260869565;0.15635153915431427;-0.755488066619159;38
repli;F22;delta;retour27;False;92;0.14130434782608695;0.15041677326144323;-0.3392254586506827;38
repli;F22;epsilon;retour27;False;92;0.42391304347826086;0.38966347775441174;0.6947361698734671;38
repli;F22;;cont10;False;92;0.75;0.8135601973649945;-1.4165723892716662;38
repli;F23;alpha;retour27;False;87;0.6896551724137931;0.7773884184010056;-1.7707916265124677;38
repli;F23;beta;retour27;False;87;0.12643678160919541;0.10239804424508145;0.7428833084018283;38
repli;F23;gamma;retour27;False;87;0.13793103448275862;0.13688731265917;0.031236541032165804;38
repli;F23;delta;retour27;False;87;0.08045977011494253;0.10874245737333145;-1.3898951807962439;38
repli;F23;epsilon;retour27;False;87;0.2988505747126437;0.3747864410656026;-1.5913549703366654;38
repli;F23;;cont10;False;87;0.8045977011494253;0.8025804551499391;0.048310909257459185;38
repli;F24;alpha;retour27;False;93;0.8064516129032258;0.7848816205842667;0.536196536748045;42
repli;F24;beta;retour27;False;93;0.12903225806451613;0.1214605359258012;0.24854114683110046;42
repli;F24;gamma;retour27;False;93;0.15053763440860216;0.1543944850776935;-0.10634594798376261;42
repli;F24;delta;retour27;False;93;0.08602150537634409;0.09968162639893377;-0.6327959235519132;42
repli;F24;epsilon;retour27;False;93;0.43010752688172044;0.3858706898024944;0.9128042925489406;42
repli;F24;;cont10;False;93;0.7956989247311828;0.7949187229137842;0.019237834615483233;42
repli;F25;alpha;retour27;False;51;0.7058823529411765;0.768931755762289;-1.0180016844795166;33
repli;F25;beta;retour27;False;51;0.13725490196078433;0.16471761349197514;-0.6677791685776535;33
repli;F25;gamma;retour27;False;51;0.21568627450980393;0.17754880634140507;0.7395359805723785;33
repli;F25;delta;retour27;False;51;0.19607843137254902;0.2210943089165708;-0.5516378282538985;33
repli;F25;epsilon;retour27;False;51;0.3137254901960784;0.37365033457578867;-0.9011805398279029;33
repli;F25;;cont10;False;51;0.8627450980392157;0.7940105862003703;1.4557105437796691;33
repli;F26;alpha;retour27;False;94;0.8191489361702128;0.789245040453156;0.7592614724383039;44
repli;F26;beta;retour27;False;94;0.20212765957446807;0.1740640510909611;0.8526640761943832;44
repli;F26;gamma;retour27;False;94;0.2127659574468085;0.19285865884486583;0.5731781374703876;44
repli;F26;delta;retour27;True;94;0.1595744680851064;0.1416747029901734;0.6571194293651856;44
repli;F26;epsilon;retour27;False;94;0.40425531914893614;0.4127173511461022;-0.18386117811855152;44
repli;F26;delta;cont10;True;94;0.776595744680851;0.8141155602346754;-0.8931908509018788;44
repli;F27;alpha;retour27;False;101;0.801980198019802;0.7619988409972386;1.0052126309851035;41
repli;F27;beta;retour27;False;101;0.0891089108910891;0.11968166793693781;-1.1053324850583233;41
repli;F27;gamma;retour27;False;101;0.1485148514851485;0.14572822855469766;0.0895640852946664;41
