famille;capteur;h;issue;z_A1;z_A2;ecart_A1;ecart_A2;n_A1;n_A2;designe
F03;epsilon;3;rap;2.511248265116918;-0.004443998505910013;0.03168846245152485;-7.968053844360619e-05;1284;642;False
F03;epsilon;9;bas;-1.309887090720148;-2.2173646376835845;-0.014476661849932747;-0.03302966870130939;1276;639;False
F03;epsilon;9;rap;2.3373748460639043;0.924416036473392;0.025820981757083816;0.014372208951842417;1276;639;False
F03;epsilon;27;bas;-4.048967267027695;-2.747781865030655;-0.0516275124752508;-0.05061347286756711;1260;634;False
F03;epsilon;27;rap;2.389180069997926;-0.6850156375352932;0.02508272733214655;-0.009421735591697436;1260;634;False
F03;gamma;1;bas;-1.218816339274811;0.33027582625543095;-0.0061270861404540845;0.0024504923291263554;1287;643;False
F03;gamma;1;rap;1.1043261068067365;-0.678199581519978;0.01514016090036427;-0.01307685121111812;1287;643;False
F03;gamma;3;bas;-1.2119955972718535;1.1674238841759548;-0.008782894901512649;0.012095665278202604;1284;642;False
F03;gamma;3;rap;2.1624061487588144;0.6140777860586171;0.028599275027327755;0.011357860454263225;1284;642;False
F03;gamma;9;bas;-0.8448292263981885;0.044459104382398584;-0.008176939186690687;0.0005827816692730365;1276;639;False
F03;gamma;9;rap;2.3825622518149356;-0.4999926809776901;0.029698193767740085;-0.008558025145541534;1276;639;False
F03;gamma;27;bas;-0.5817095924223338;-2.4756809495706085;-0.00713512590228095;-0.04017795229031902;1260;634;False
F03;gamma;27;rap;2.246120025241743;-0.770387787022947;0.025437922389398335;-0.01151446926761552;1260;634;False
