source;famille;capteur;designe;n;segments;obs;ref;z
collage;F36;beta;False;569;50;0.4956063268892794;0.5090838501531866;-0.7345976523084771
collage;F36;delta;False;569;50;0.30755711775043937;0.28932402757321;1.156559250628969
longueur;F01;alpha;False;5451;50;0.8816730875068794;0.8780522029978924;0.8343241533434844
longueur;F01;epsilon;False;5451;50;0.7782058337919647;0.7546497332212958;4.346593077559382
longueur;F01;gamma;False;5451;50;0.6351128233351678;0.614276107534381;3.5001200619349957
longueur;F01;beta;False;5451;50;0.5397174830306366;0.49920353629327996;6.838937694001259
longueur;F01;delta;False;5451;50;0.30159603742432584;0.2832124858237142;3.80400908883514
longueur;F02;alpha;False;2471;50;0.8785916632942129;0.8794819387381523;-0.13700661753033408
longueur;F02;epsilon;False;2471;50;0.7782274382840955;0.7583470209412126;2.481113930053237
longueur;F02;gamma;False;2471;50;0.6523674625657628;0.6232336410268943;3.3204280470021685
longueur;F02;beta;False;2471;50;0.5495750708215298;0.5025705418655038;5.348693779522065
longueur;F02;delta;False;2471;50;0.3168757588021044;0.2838598540663166;4.378210644110451
longueur;F03;alpha;False;1225;50;0.8759183673469387;0.8845251591377471;-0.9217993768836785
longueur;F03;epsilon;False;1225;50;0.7746938775510204;0.7664003400840546;0.7183279373337187
longueur;F03;gamma;False;1225;50;0.6563265306122449;0.621274722789316;2.773225837113232
longueur;F03;beta;False;1225;50;0.5395918367346939;0.5020690187981753;2.9438448903598546
longueur;F03;delta;False;1225;50;0.3183673469387755;0.2854792099421792;3.1206832871498893
longueur;F04;alpha;False;190;49;0.8368421052631579;0.8354015632186771;0.05405894680270408
longueur;F04;epsilon;False;190;49;0.7263157894736842;0.7695467840092569;-1.347328043396181
longueur;F04;gamma;False;190;49;0.6421052631578947;0.6168039359253299;0.7937035760755118
longueur;F04;beta;False;190;49;0.45789473684210524;0.48391274463128614;-0.8112660868633184
longueur;F04;delta;False;190;49;0.3105263157894737;0.2965166879586695;0.5158521711081792
longueur;F05;alpha;False;382;50;0.8612565445026178;0.8817785369424829;-1.202751531622362
longueur;F05;epsilon;False;382;50;0.7591623036649214;0.7865980600567215;-1.2979006526618668
longueur;F05;gamma;False;382;50;0.643979057591623;0.6331526165201351;0.4778953784517333
longueur;F05;beta;False;382;50;0.5026178010471204;0.4942702192942518;0.35594446607653113
longueur;F05;delta;False;382;50;0.2591623036649215;0.25964297289585975;-0.02592254240868796
longueur;F06;alpha;True;238;50;0.7983193277310925;0.871291690306146;-2.8631246513379747
longueur;F06;epsilon;False;238;50;0.7478991596638656;0.7771604121295401;-1.0834068600013003
longueur;F06;gamma;False;238;50;0.5966386554621849;0.6100818917390232;-0.45687306304138203
longueur;F06;beta;False;238;50;0.48739495798319327;0.474304074470065;0.4619829403099717
longueur;F06;delta;False;238;50;0.3445378151260504;0.3148825936624917;1.133379439784106
longueur;F07;alpha;False;106;44;0.8207547169811321;0.8423697140446318;-0.5950256492675718
longueur;F07;epsilon;False;106;44;0.7547169811320755;0.7822878931617074;-0.6770251615791844
longueur;F07;gamma;False;106;44;0.6886792452830188;0.6601201335717585;0.7044564309058878
longueur;F07;beta;False;106;44;0.5849056603773585;0.5384902269240016;1.0518649937490636
