famille;capteur;h;issue;designe;n;segments;obs;ref;ecart;z
F06;beta;3;bas;False;2135;50;0.08992974238875878;0.09052465959658197;-0.0005949172078232039;-0.11168611901068663
F06;beta;3;rap;False;2135;50;0.5372365339578454;0.5282915802228191;0.008944953735026325;0.8578814517706526
F06;beta;9;bas;False;2126;50;0.19896519285042333;0.18665519882971873;0.012309994020704604;1.7441117463653262
F06;beta;9;rap;False;2126;50;0.544214487300094;0.5358226572810578;0.00839183001903622;0.8292638276560468
F06;beta;27;bas;False;2091;50;0.38737446197991393;0.3558038083633893;0.0315706536165246;3.4106563843281235
F06;beta;27;rap;False;2091;50;0.5504543280726925;0.5357567624349305;0.014697565637761926;1.5862023909207674
F06;gamma;1;bas;False;2137;50;0.056621431913897985;0.049694052724013095;0.006927379189884888;1.5581629061505626
F06;gamma;1;rap;False;2137;50;0.5325222274216191;0.5263087144869457;0.006213512934673333;0.5818572855559623
F06;gamma;3;bas;False;2135;50;0.11381733021077284;0.11310314129589344;0.0007141889148793926;0.12166169918985059
F06;gamma;3;rap;False;2135;50;0.550351288056206;0.534752866014363;0.01559842204184314;1.5117925151636742
F06;gamma;9;bas;False;2126;50;0.2436500470366886;0.2335528498674805;0.010097197169208094;1.2961044018360897
F06;gamma;9;rap;False;2126;50;0.5432737535277516;0.5405483595027853;0.002725394024966319;0.27989514387452386
F06;gamma;27;bas;False;2091;50;0.4643711142993783;0.4472448683928543;0.01712624590652398;1.768440330461092
F06;gamma;27;rap;False;2091;50;0.5442372070779531;0.533421822786414;0.010815384291538988;1.2031092199486901
F06;delta;1;bas;False;2137;50;0.023865231633130556;0.022459287680861605;0.00140594395226895;0.45696002175744926
F06;delta;1;rap;False;2137;50;0.518015910154422;0.5168618345927286;0.00115407556169346;0.10757931526653865
F06;delta;3;bas;False;2135;50;0.054800936768149885;0.05291453119902764;0.0018864055691222373;0.42916269141812813
F06;delta;3;rap;False;2135;50;0.5278688524590164;0.5249401666934399;0.0029286857655764138;0.27487277235707486
F06;delta;9;bas;False;2126;50;0.11053621825023519;0.11183605577985119;-0.0012998375296160004;-0.22605703984745681
F06;delta;9;rap;False;2126;50;0.5343367826904986;0.5366059459118495;-0.0022691632213508984;-0.21828142195198721
F06;delta;27;bas;False;2091;50;0.22477283596365374;0.21776613216520127;0.007006703798452496;0.9224791271266084
F06;delta;27;rap;False;2091;50;0.5581061692969871;0.5471671135392713;0.010939055757715891;1.0911945856056868
F06;epsilon;1;bas;False;2137;50;0.07112774918109499;0.07156436811333014;-0.0004366189322351341;-0.08571103643824014
F06;epsilon;1;rap;False;2137;50;0.5339260645765092;0.5321544576895773;0.0017716068869318496;0.16902207043596804
F06;epsilon;3;bas;False;2135;50;0.16065573770491803;0.16379891780145645;-0.0031431800965384163;-0.4562416642306671
F06;epsilon;3;rap;False;2135;50;0.5484777517564403;0.5386910463882748;0.00978670536816535;0.9820638704392385
F06;epsilon;9;bas;False;2126;50;0.33160865475070556;0.33837689545676747;-0.0067682407060619485;-0.7441076023560244
F06;epsilon;9;rap;False;2126;50;0.5371589840075258;0.5419223816993227;-0.004763397691796706;-0.5218893448514504
F06;epsilon;27;bas;False;2091;50;0.6494500239120038;0.6386326352252705;0.010817388686733344;1.0775292262141896
F06;epsilon;27;rap;False;2091;50;0.5107604017216643;0.5187335410472448;-0.007973139325580504;-0.9470156428174844
F07;alpha;1;bas;False;928;50;0.1314655172413793;0.11554805496478618;0.015917462276593134;1.5629195693180697
F07;alpha;1;rap;False;928;50;0.5043103448275862;0.5092139074351231;-0.004903562607536935;-0.3114100836632711
