bloc;id;description;n;segments;valeur;reference;p;verdict
8;08.sortie.epsilon.haut;première sortie haut de l'enveloppe epsilon : retour dedans en 6 pas;1279;50.0;0.8319;0.7835;;
8;08.sortie.epsilon.bas;première sortie bas de l'enveloppe epsilon : retour dedans en 6 pas;1430;50.0;0.8538;0.8027;;
8;08.sortie.gamma.haut;première sortie haut de l'enveloppe gamma : retour dedans en 12 pas;888;50.0;0.8739;0.7946;;
8;08.sortie.gamma.bas;première sortie bas de l'enveloppe gamma : retour dedans en 12 pas;1024;50.0;0.8906;0.8343;;
8;08.sortie.beta.haut;première sortie haut de l'enveloppe beta : retour dedans en 18 pas;791;50.0;0.9216;0.7863;;
8;08.sortie.beta.bas;première sortie bas de l'enveloppe beta : retour dedans en 18 pas;775;50.0;0.9045;0.814;;
8;08.sortie.delta.haut;première sortie haut de l'enveloppe delta : retour dedans en 47 pas;481;45.0;0.9439;0.8363;;
8;08.sortie.delta.bas;première sortie bas de l'enveloppe delta : retour dedans en 47 pas;431;46.0;0.935;0.8106;;
8;08.comp.alpha.compression<=5%;compression<=5% de l'enveloppe alpha -> amplitude future;6056;50.0;1.0084;1.0247;;
8;08.comp.alpha.expansion>=95%;expansion>=95% de l'enveloppe alpha -> amplitude future;3203;50.0;1.2693;1.1032;;
8;08.comp.epsilon.compression<=5%;compression<=5% de l'enveloppe epsilon -> amplitude future;6751;50.0;1.0721;1.0365;;
8;08.comp.epsilon.expansion>=95%;expansion>=95% de l'enveloppe epsilon -> amplitude future;3835;50.0;1.1339;1.0733;;
8;08.comp.gamma.compression<=5%;compression<=5% de l'enveloppe gamma -> amplitude future;6311;50.0;1.1855;1.0252;;
8;08.comp.gamma.expansion>=95%;expansion>=95% de l'enveloppe gamma -> amplitude future;5139;50.0;0.9411;0.9749;;
8;08.align.haussier;alignement haussier des 5 niveaux -> hausse sur 36 pas;10138;50.0;0.4861;0.5;;
8;08.align.baissier;alignement baissier des 5 niveaux -> hausse sur 36 pas;10174;50.0;0.513;0.5;;
8;08.align.mêlé;alignement mêlé des 5 niveaux -> hausse sur 36 pas;43608;50.0;0.4881;0.5;;
9;09.topo.1;creux/sommets de persistance > 1 σ vs chemin mélangé;14833;50.0;1.0203;1.0;;
9;09.topo.2;creux/sommets de persistance > 2 σ vs chemin mélangé;7683;50.0;0.9808;1.0;;
9;09.topo.4;creux/sommets de persistance > 4 σ vs chemin mélangé;3294;50.0;0.9715;1.0;;
9;09.topo.8;creux/sommets de persistance > 8 σ vs chemin mélangé;1181;50.0;0.9787;1.0;;
9;09.topo.16;creux/sommets de persistance > 16 σ vs chemin mélangé;348;50.0;0.99;1.0;;
9;09.spectre.60;pic du spectre de l'activité à la période 60;50;50.0;1.0;1.0;;
9;09.spectre.30;pic du spectre de l'activité à la période 30;50;50.0;2.965;1.0;;
9;09.spectre.20;pic du spectre de l'activité à la période 20;50;50.0;0.949;1.0;;
9;09.spectre.15;pic du spectre de l'activité à la période 15;50;50.0;4.51;1.0;;
9;09.spectre.12;pic du spectre de l'activité à la période 12;50;50.0;0.923;1.0;;
9;09.spectre.10;pic du spectre de l'activité à la période 10;50;50.0;3.257;1.0;;
9;09.spectre.5;pic du spectre de l'activité à la période 5;50;50.0;11.809;1.0;;
9;09.regime;persistance de l'activité médiane d'un segment au suivant;49;50.0;0.302;0.0;;
09;09.topo.1;creux/sommets de persistance > 1 σ vs chemin mélangé;14833;50.0;1.0203;1.0;;
09;09.topo.2;creux/sommets de persistance > 2 σ vs chemin mélangé;7683;50.0;0.9808;1.0;;
09;09.topo.4;creux/sommets de persistance > 4 σ vs chemin mélangé;3294;50.0;0.9715;1.0;;
